timestamp,frequency_hz,vpp_ch1_V,vpp_ch2_V
2026-04-28 15:21:05,100.0,1.001,1.2
2026-04-28 15:21:05,1000.0,0.535,1.2
2026-04-28 15:21:05,10000.0,0.101,1.1
2026-04-28 15:21:05,100000.0,0.032,1.1
2026-04-28 15:25:07,100.0,1.018,1.03
2026-04-28 15:25:07,1000.0,0.543,0.998
2026-04-28 15:25:07,10000.0,0.0826,0.988
2026-04-28 15:25:07,100000.0,0.0149,0.995
2026-04-28 15:36:24,10.0,1.041,1.032
2026-04-28 15:36:24,50.0,1.035,1.032
2026-04-28 15:36:24,100.0,1.022,1.025
2026-04-28 15:36:24,500.0,0.809,1.005
2026-04-28 15:36:24,1000.0,0.551,0.995
2026-04-28 15:36:24,5000.0,0.153,0.988
2026-04-28 15:36:24,10000.0,0.093,0.988
2026-04-28 15:36:24,50000.0,0.04,0.988
2026-04-28 15:36:24,100000.0,0.033,0.988
2026-04-28 15:36:24,500000.0,0.027,0.995
2026-04-28 15:36:24,1000000.0,0.04,0.995
2026-04-28 15:36:24,5000000.0,0.02,1.002
2026-04-28 15:36:24,10000000.0,0.021,1.018
2026-04-28 15:36:24,20000000.0,0.021,1.09
2026-04-28 15:36:43,10.0,1.041,1.034
2026-04-28 15:36:43,50.0,1.022,1.032
2026-04-28 15:36:43,100.0,1.022,1.032
2026-04-28 15:36:43,500.0,0.796,1.011
2026-04-28 15:36:43,1000.0,0.544,1.002
2026-04-28 15:36:43,5000.0,0.153,0.988
2026-04-28 15:36:43,10000.0,0.093,0.988
2026-04-28 15:36:43,50000.0,0.046,0.988
2026-04-28 15:36:43,100000.0,0.04,0.988
2026-04-28 15:36:43,500000.0,0.027,0.995
2026-04-28 15:36:43,1000000.0,0.027,0.995
2026-04-28 15:36:43,5000000.0,0.02,0.995
2026-04-28 15:36:43,10000000.0,0.022,1.012
2026-04-28 15:36:43,20000000.0,0.028,1.09
2026-04-28 15:47:30,10.0,1.041,1.032
2026-04-28 15:47:30,50.0,1.028,1.025
2026-04-28 15:47:30,100.0,1.022,1.032
2026-04-28 15:47:30,500.0,0.796,1.005
2026-04-28 15:47:30,1000.0,0.537,0.991
2026-04-28 15:47:30,5000.0,0.159,0.995
2026-04-28 15:47:30,10000.0,0.093,0.988
2026-04-28 15:47:30,50000.0,0.04,0.988
2026-04-28 15:47:30,100000.0,0.04,0.988
2026-04-28 15:47:30,500000.0,0.027,1.002
2026-04-28 15:47:30,1000000.0,0.027,0.995
2026-04-28 15:47:30,5000000.0,0.02,0.995
2026-04-28 15:47:30,10000000.0,0.032,1.019
2026-04-28 15:47:30,20000000.0,0.035,1.08
2026-04-28 15:48:02,10.0,1.048,1.034
2026-04-28 15:48:02,50.0,1.035,1.032
2026-04-28 15:48:02,100.0,1.022,1.032
2026-04-28 15:48:02,500.0,0.796,1.011
2026-04-28 15:48:02,1000.0,0.544,1.002
2026-04-28 15:48:02,5000.0,0.153,0.988
2026-04-28 15:48:02,10000.0,0.093,0.988
2026-04-28 15:48:02,50000.0,0.04,0.988
2026-04-28 15:48:02,100000.0,0.04,0.988
2026-04-28 15:48:02,500000.0,0.027,0.995
2026-04-28 15:48:02,1000000.0,0.033,0.988
2026-04-28 15:48:02,5000000.0,0.027,1.002
2026-04-28 15:48:02,10000000.0,0.022,1.01
2026-04-28 15:48:02,20000000.0,0.033,1.09
2026-04-28 15:49:40,10.0,9.9e+37,1.034
2026-04-28 15:49:40,50.0,9.9e+37,1.032
2026-04-28 15:49:40,100.0,9.9e+37,1.025
2026-04-28 15:49:40,500.0,9.9e+37,1.005
2026-04-28 15:49:40,1000.0,9.9e+37,0.995
2026-04-28 15:49:40,5000.0,9.9e+37,0.988
2026-04-28 15:49:40,10000.0,9.9e+37,0.995
2026-04-28 15:49:40,50000.0,9.9e+37,0.988
2026-04-28 15:49:40,100000.0,9.9e+37,0.988
2026-04-28 15:49:40,500000.0,9.9e+37,0.995
2026-04-28 15:49:40,1000000.0,9.9e+37,0.988
2026-04-28 15:49:40,5000000.0,9.9e+37,0.975
2026-04-28 15:49:40,10000000.0,9.9e+37,0.953
2026-04-28 15:49:40,20000000.0,9.9e+37,0.891
2026-04-28 15:49:59,10.0,1.02,1.039
2026-04-28 15:49:59,50.0,1.014,1.032
2026-04-28 15:49:59,100.0,1.014,1.032
2026-04-28 15:49:59,500.0,1.0,1.005
2026-04-28 15:49:59,1000.0,0.987,1.002
2026-04-28 15:49:59,5000.0,0.973,0.988
2026-04-28 15:49:59,10000.0,0.973,0.982
2026-04-28 15:49:59,50000.0,0.973,0.988
2026-04-28 15:49:59,100000.0,0.967,0.988
2026-04-28 15:49:59,500000.0,0.967,0.995
2026-04-28 15:49:59,1000000.0,0.96,0.988
2026-04-28 15:49:59,5000000.0,0.933,0.975
2026-04-28 15:49:59,10000000.0,0.866,0.946
2026-04-28 15:49:59,20000000.0,0.654,0.889
2026-04-28 15:52:30,10.0,10.004,1.02,1.032
2026-04-28 15:52:30,50.0,50.012,1.02,1.034
2026-04-28 15:52:30,100.0,100.02,1.014,1.032
2026-04-28 15:52:30,500.0,500.4,1.0,1.018
2026-04-28 15:52:30,1000.0,1000.0,0.987,1.002
2026-04-28 15:52:30,5000.0,5000.8,0.973,0.988
2026-04-28 15:52:30,10000.0,9997.0,0.973,0.988
2026-04-28 15:52:30,50000.0,50055.0,0.973,0.988
2026-04-28 15:52:30,100000.0,99990.0,0.973,0.988
2026-04-28 15:52:30,500000.0,500800.0,0.967,1.002
2026-04-28 15:52:30,1000000.0,1000000.0,0.967,1.002
2026-04-28 15:52:30,5000000.0,5000000.0,0.933,0.982
2026-04-28 15:52:30,10000000.0,10000000.0,0.866,0.946
2026-04-28 15:52:30,20000000.0,20000000.0,0.654,0.885
2026-04-28 15:55:13,10.0,10.001,1.014,1.027
2026-04-28 15:55:13,50.0,49.996,1.02,1.032
2026-04-28 15:55:13,100.0,100.06,1.014,1.018
2026-04-28 15:55:13,500.0,499.84,1.0,0.784
2026-04-28 15:55:13,1000.0,999.9,0.987,0.528
2026-04-28 15:55:13,5000.0,5000.4,0.973,0.141
2026-04-28 15:55:13,10000.0,9997.0,0.973,0.0826
2026-04-28 15:55:13,50000.0,49965.0,0.973,0.0173
2026-04-28 15:55:13,100000.0,99970.0,0.967,0.0109
2026-04-28 15:55:13,500000.0,499800.0,0.96,0.0064
2026-04-28 15:55:13,1000000.0,1002000.0,0.96,0.0052
2026-04-28 15:55:13,5000000.0,4980000.0,0.933,0.0048
2026-04-28 15:55:13,10000000.0,10000000.0,0.879,0.0056
2026-04-28 15:55:13,20000000.0,20000000.0,0.693,0.0053
2026-04-28 15:59:57,10.0,9.975,1.09,1.03
2026-04-28 15:59:57,50.0,49.944,1.09,1.018
2026-04-28 15:59:57,100.0,100.01,1.09,1.018
2026-04-28 15:59:57,500.0,500.36,1.09,0.784
2026-04-28 15:59:57,1000.0,998.8,1.09,0.528
2026-04-28 15:59:57,5000.0,5001.2,1.09,0.144
2026-04-28 15:59:57,10000.0,10017.0,1.09,0.0784
2026-04-28 15:59:57,50000.0,50115.0,1.05,0.0177
2026-04-28 15:59:57,100000.0,100590.0,1.05,0.0109
2026-04-28 15:59:57,500000.0,503000.0,1.01,0.0056
2026-04-28 15:59:57,1000000.0,1000000.0,1.01,0.0052
2026-04-28 15:59:57,5000000.0,4980000.0,1.01,0.0052
2026-04-28 15:59:57,10000000.0,9900000.0,0.92,0.004
2026-04-28 15:59:57,20000000.0,19700000.0,0.73,0.0056
